height_to_cheek,cheek_to_jaw,forehead_to_cheek,jaw_to_forehead,height_to_jaw,height_to_forehead,chin_to_jaw,cheek_to_fj_mean,jaw_angle,label
1.220469,1.320769,0.501301,1.510341,1.611958,2.434605,0.439633,1.589275,132.959503,Oblong
1.292255,1.329871,0.513583,1.464132,1.718532,2.516157,0.409820,1.580359,139.504120,Oblong
1.318582,1.345301,0.483612,1.537032,1.773890,2.726527,0.403117,1.630071,134.801147,Oblong
1.371776,1.390195,0.493728,1.456922,1.907036,2.778403,0.417839,1.648734,140.540207,Oblong
1.221467,1.391323,0.502803,1.429468,1.699455,2.429316,0.428634,1.637273,140.549713,Oblong
1.280169,1.417448,0.541629,1.302540,1.814574,2.363555,0.430319,1.603693,147.087723,Oblong
1.288854,1.385599,0.535150,1.348612,1.785834,2.408397,0.426586,1.591267,144.532700,Oblong
1.194667,1.281176,0.481302,1.621710,1.530578,2.482155,0.420395,1.584993,130.734833,Oblong
1.209935,1.409082,0.559452,1.268530,1.704898,2.162714,0.426295,1.575878,148.581238,Oblong
1.280881,1.348312,0.532834,1.391930,1.727027,2.403902,0.433341,1.569239,142.798462,Oblong
1.318291,1.379194,0.531545,1.364064,1.818179,2.480112,0.427143,1.591588,142.914398,Oblong
1.251770,1.348976,0.488958,1.516088,1.688607,2.560077,0.426605,1.625671,141.353119,Oblong
1.313885,1.339372,0.483904,1.542906,1.759780,2.715176,0.429385,1.625325,139.843597,Oblong
1.256743,1.307223,0.502471,1.522437,1.642844,2.501126,0.409465,1.577970,135.796524,Oblong
1.306665,1.305323,0.502402,1.524862,1.705620,2.600836,0.419064,1.576671,134.700394,Oblong
1.215990,1.383267,0.530924,1.361637,1.682039,2.290325,0.429303,1.595086,144.887527,Oblong
1.260662,1.366499,0.500475,1.462204,1.722694,2.518930,0.419353,1.623018,139.794907,Oblong
1.317232,1.365399,0.514327,1.423972,1.798547,2.561081,0.418294,1.604218,139.402908,Oblong
1.269063,1.370145,0.519091,1.406015,1.738801,2.444780,0.414770,1.601357,143.910751,Oblong
1.271688,1.341289,0.519760,1.434413,1.705701,2.446680,0.424299,1.580638,138.743088,Oblong
1.227350,1.361477,0.497332,1.476874,1.671009,2.467870,0.419508,1.623603,136.866058,Oblong
1.259578,1.361577,0.529849,1.386136,1.715011,2.377238,0.415237,1.581913,137.072937,Oblong
1.219318,1.325269,0.518490,1.455310,1.615924,2.351671,0.440450,1.571025,135.338318,Oblong
1.324535,1.302811,0.498199,1.540691,1.725619,2.658644,0.418489,1.580065,143.576584,Oblong
1.267354,1.335551,0.550788,1.359425,1.692615,2.300982,0.432951,1.539003,143.709656,Oblong
1.211190,1.300104,0.505309,1.522177,1.574673,2.396932,0.414096,1.569270,138.344711,Oblong
1.249501,1.332390,0.485996,1.544315,1.664824,2.571012,0.428173,1.617434,140.305832,Oblong
1.247505,1.371018,0.528622,1.379786,1.710352,2.359919,0.422851,1.589816,142.674179,Oblong
1.249496,1.373967,0.540858,1.345676,1.716767,2.310212,0.415660,1.576445,147.076950,Oblong
1.231356,1.351967,0.519464,1.423896,1.664753,2.370435,0.429243,1.588402,138.819046,Oblong
1.252994,1.322066,0.498089,1.518587,1.656541,2.515601,0.416457,1.594285,137.950943,Oblong
1.278999,1.353153,0.515415,1.433826,1.730681,2.481495,0.418763,1.594350,141.178284,Oblong
1.312544,1.400513,0.525958,1.357569,1.838236,2.495532,0.422751,1.612927,141.249573,Oblong
1.236905,1.366925,0.488837,1.496550,1.690756,2.530302,0.421841,1.638799,136.960983,Oblong
1.234710,1.361282,0.487372,1.507270,1.680787,2.533401,0.415131,1.636696,138.874832,Oblong
1.316316,1.377993,0.512495,1.415999,1.813875,2.568446,0.416818,1.615263,141.242294,Oblong
1.334716,1.354774,0.496005,1.488152,1.808239,2.690935,0.415864,1.620568,137.736572,Oblong
1.209037,1.400601,0.551051,1.295668,1.693380,2.194058,0.413240,1.580990,139.986801,Oblong
1.236589,1.376408,0.530226,1.370225,1.702052,2.332195,0.432710,1.591401,145.053650,Oblong
1.241802,1.394051,0.502167,1.428475,1.731135,2.472884,0.413039,1.640015,138.859192,Oblong
1.196805,1.388114,0.511252,1.409095,1.661303,2.340933,0.423106,1.623834,144.343613,Oblong
